link,title,subtitle
https://www.br104.com.br/politica/bolsonaro-entrega-o-fnde-com-r-294-bilhoes-ao-centrao/,"Bolsonaro entrega o FNDE com R$ 29,4 bilhões ao Centrão","O Fundo Nacional de Desenvolvimento da Educação (FNDE) será comandado pelo PL, do ex deputado Valdemar Costa Neto"
https://www.br104.com.br/acidente/acidente-em-trecho-da-br-316-deixa-homem-ferido-na-noite-dessa-segunda-feira-18/,Acidente em trecho da BR-316 deixa homem ferido na noite dessa segunda-feira (18),A PRF não informou o que poderia ter ocasionado o acidente
https://www.br104.com.br/geral/auxilio-emergencial-comeca-nesta-terca-19-pagamento-da-1a-parcela-para-quem-nao-recebeu-em-abril/,"Auxílio Emergencial: Começa nesta terça (19), pagamento da 1ª parcela para quem não recebeu em abril","Os valores referentes aos R$ 600, estarão disponíveis para saque imediato"
https://www.br104.com.br/sao-jose-da-laje/covid-19-sao-jose-da-laje-chega-a-38-casos-confirmados/,Covid-19: São José da Laje chega a 38 casos confirmados,"Dos 38 pacientes que estão com Covid-19, 3 seguem internados em hospitais de referência do Estado"
https://www.br104.com.br/mundo/coronavirus-empresa-americana-testa-vacina-em-humanos-e-anuncia-resultados-positivos/,Coronavírus: empresa americana testa vacina em humanos e anuncia resultados positivos,"A empresa americana de biotecnologia, a Moderna Tecnology fez o anúncio na manhã desta segunda-feira"
https://www.br104.com.br/policia/mulher-e-agredida-pelo-proprio-marido-no-trapiche-da-barra-em-maceio/,"Mulher é agredida pelo próprio marido no Trapiche da Barra, em Maceió",O homem teria derrubado a vítima e na seqüência à agrediu com golpes de madeiras
https://www.br104.com.br/alagoas/incendio-proposital-atinge-tres-casas-em-teotonio-vilela-na-madrugada-desta-segunda-18/,Incêndio proposital atinge três casas em Teotônio Vilela na madrugada desta segunda (18),A polícia ainda não identificou os suspeitos de terem praticado o crime
https://www.br104.com.br/politica/governo-comemora-antecipacao-de-obra-atrasada-diz-cabo-bebeto-sobre-hospital-metropolitano/,Governo comemora “antecipação de obra atrasada”; diz Cabo Bebeto sobre Hospital Metropolitano,"O deputado disse que se o hospital tivesse sido inaugurado no prazo, teria ajudado a salvar muitas vidas"
https://www.br104.com.br/alagoas/homem-e-preso-em-flagrante-com-113-mil-macos-de-cigarros-contrabandeados-em-algoas/,Homem é preso em flagrante com 113 mil maços de cigarros contrabandeados em Alagoas,"Segundo a BPRv, a carga estava avaliada por mais de R$ 90 mil"
https://www.br104.com.br/acidente/motociclista-sem-capacete-morre-em-acidente-na-al-220-no-municipio-de-craibas/,Motociclista sem capacete morre em acidente na AL-220 no município de Craíbas,Este é o segundo acidente envolvendo motocicletas entre a noite desse domingo (17) e a madrugada desta segunda-feira (18)
